trip_distance,tip_amount,fare_amount,total_amount,passenger_count,start_hour,start_day,start_weekday,start_month,trip_duration_minutes
1.2,0.0,6.0,7.3,1.0,0,1,Thursday,7,4.733333333333333
13.69,0.0,42.0,43.3,2.0,0,1,Thursday,7,35.916666666666664
0.95,2.34,6.5,10.14,1.0,0,1,Thursday,7,6.033333333333333
1.24,0.0,6.5,7.8,1.0,0,1,Thursday,7,5.716666666666667
1.1,0.0,7.0,8.3,1.0,0,1,Thursday,7,7.233333333333333
1.9,3.0,8.0,15.05,1.0,0,1,Thursday,7,6.833333333333333
0.0,0.0,17.5,18.8,1.0,0,1,Thursday,7,30.483333333333334
0.66,0.0,5.0,6.3,1.0,0,1,Thursday,7,4.983333333333333
1.72,2.08,7.0,10.38,1.0,0,1,Thursday,7,5.15
1.37,0.0,7.5,8.8,1.0,0,1,Thursday,7,7.85
2.14,2.65,9.0,15.7,1.0,0,1,Thursday,7,8.783333333333333
0.01,0.0,13.0,13.3,1.0,0,1,Thursday,7,0.08333333333333333
7.74,0.0,56.0,57.3,1.0,15,7,Monday,6,89.58333333333333
25.08,0.0,65.5,73.35,1.0,0,1,Thursday,7,34.8
0.0,0.0,7.0,7.3,1.0,0,1,Thursday,7,0.65
0.0,2.19,7.0,9.49,1.0,0,1,Thursday,7,0.05
11.4,0.0,42.0,49.85,1.0,0,1,Thursday,7,52.56666666666667
9.08,0.0,31.0,38.85,1.0,1,1,Thursday,7,27.65
1.4,0.0,6.5,7.8,1.0,0,1,Thursday,7,4.416666666666667
5.76,4.16,19.5,24.96,1.0,0,1,Thursday,7,21.383333333333333
5.69,0.0,20.5,24.55,1.0,0,1,Thursday,7,23.033333333333335
5.65,0.0,16.5,17.8,1.0,0,1,Thursday,7,8.533333333333333
3.27,0.0,13.0,14.3,1.0,0,1,Thursday,7,15.583333333333334
1.04,0.0,6.0,7.3,1.0,0,1,Thursday,7,5.3
5.63,0.0,14.0,14.3,1.0,0,1,Thursday,7,34.733333333333334
9.81,0.0,28.5,29.8,1.0,0,1,Thursday,7,20.333333333333332
3.25,1.6,12.0,17.65,1.0,1,1,Thursday,7,11.25
1.12,1.36,5.5,8.16,1.0,1,1,Thursday,7,4.433333333333334
2.58,0.0,10.5,14.55,1.0,1,1,Thursday,7,10.45
2.19,0.0,9.0,10.3,1.0,1,1,Thursday,7,8.366666666666667
10.13,6.06,29.0,36.36,1.0,1,1,Thursday,7,17.666666666666668
3.5,0.0,13.5,14.8,1.0,0,1,Thursday,7,16.116666666666667
2.96,0.0,10.0,14.05,1.0,1,1,Thursday,7,8.683333333333334
0.31,0.0,3.5,4.8,1.0,1,1,Thursday,7,1.4666666666666666
0.79,0.0,6.0,7.3,1.0,1,1,Thursday,7,5.5
2.71,0.0,14.0,14.3,1.0,1,1,Thursday,7,13.683333333333334
